Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
2023-05-12,2023-05-15,2023-05-16,TSLA,TSLA 2023-05-19 call 172.5000,BTO,1.00000,2.33000000,233
2023-05-18,2023-05-19,2023-05-22,TSLA,TSLA 2023-05-19 call 172.5000,STC,1.00000,4.75000000,475
2023-05-23,2023-05-24,2023-05-25,NVDA,NVDA 2023-05-26 call 315.0000,BTO,1.00000,5.45000000,545
2023-05-23,2023-05-23,,TSLA,TSLA 2023-05-26 call 180.0000,BTO,,,0
2023-05-25,2023-05-25,2023-05-26,TM,TM 2023-06-16 call 150.0000,BTO,1.00000,0.19000000,19
2023-05-25,2023-05-26,2023-05-30,NFLX,NFLX 2023-05-26 put 355.0000,BTO,1.00000,0.69000000,69
2023-05-25,2023-05-26,,META,META 2023-05-26 call 247.5000,BTO,,,0
2023-05-25,2023-05-25,2023-05-26,NVDA,NVDA 2023-05-26 call 315.0000,STC,1.00000,72.00000000,7200
2023-05-25,2023-05-25,2023-05-26,MSFT,MSFT 2023-05-26 call 330.0000,BTO,1.00000,0.69000000,69
2023-05-25,2023-05-25,2023-05-26,TSLA,TSLA 2023-05-26 call 177.5000,BTO,1.00000,6.85000000,685
2023-05-26,2023-05-30,,TSLA,TSLA 2023-06-02 call 190.0000,BTO,,,0
2023-05-26,2023-05-26,,TM,TM 2023-06-16 call 150.0000,STC,,,0
2023-05-26,2023-05-26,,NFLX,NFLX 2023-05-26 put 355.0000,STC,,,0
2023-05-26,2023-05-30,2023-05-31,META,META 2023-06-02 call 257.5000,BTO,1.00000,7.00000000,700
2023-05-26,2023-05-26,2023-05-30,TSLA,TSLA 2023-05-26 call 190.0000,BTO,1.00000,6.60000000,660
2023-05-26,2023-05-26,2023-05-30,META,META 2023-05-26 call 252.5000,BTO,1.00000,6.60000000,660
2023-05-26,2023-05-26,2023-05-30,MSFT,MSFT 2023-05-26 call 330.0000,STC,1.00000,2.35000000,235
2023-05-26,2023-05-26,2023-05-30,TSLA,TSLA 2023-05-26 call 177.5000,STC,1.00000,16.80000000,1680
2023-05-26,2023-05-26,2023-05-30,META,META 2023-05-26 call 252.5000,STC,1.00000,7.45000000,745
2023-05-26,2023-05-26,2023-05-30,TSLA,TSLA 2023-05-26 call 190.0000,STC,1.00000,4.40000000,440
2023-05-30,2023-05-30,,QCOM,QCOM 2023-06-02 call 116.0000,STC,,,0
2023-05-30,2023-05-30,2023-05-31,TSLA,TSLA 2023-06-02 call 207.5000,BTO,1.00000,2.00000000,200
2023-05-30,2023-05-30,2023-05-31,AMZN,AMZN 2023-06-02 call 125.0000,BTO,1.00000,0.80000000,80
2023-05-30,2023-05-30,,TSLA,TSLA 2023-06-02 call 192.5000,BTO,,,0
2023-05-30,2023-05-30,2023-05-31,TSLA,TSLA 2023-06-02 call 192.5000,BTO,1.00000,9.45000000,945
2023-05-30,2023-05-30,2023-05-31,SBUX,SBUX 2023-06-02 call 95.0000,BTO,1.00000,2.69000000,269
2023-05-30,2023-05-30,2023-05-31,QCOM,QCOM 2023-06-02 call 116.0000,BTO,1.00000,1.43000000,143
2023-05-31,2023-05-31,,ORCL,ORCL 2023-06-02 call 102.0000,BTO,,,0
2023-05-31,2023-06-01,2023-06-02,TSLA,TSLA 2023-06-02 call 192.5000,STC,1.00000,12.00000000,1200
2023-06-01,2023-06-01,2023-06-02,META,META 2023-06-02 call 257.5000,STC,1.00000,13.55000000,1355
2023-06-01,2023-06-01,2023-06-02,SBUX,SBUX 2023-06-02 call 95.0000,STC,1.00000,3.15000000,315
2023-06-02,2023-06-02,2023-06-05,AMZN,AMZN 2023-06-02 call 125.0000,STC,1.00000,0.01000000,1
2023-06-02,2023-06-02,2023-06-05,QCOM,QCOM 2023-06-02 call 116.0000,STC,1.00000,0.03000000,3
2023-06-02,2023-06-02,,AMZN,AMZN 2023-06-02 call 125.0000,STC,,,0
2023-06-02,2023-06-02,,QCOM,QCOM 2023-06-02 call 116.0000,STC,,,0
2023-06-02,2023-06-02,,AMZN,AMZN 2023-06-09 call 130.0000,BTO,,,0
2023-06-02,2023-06-02,2023-06-05,BIDU,BIDU 2023-06-02 call 132.0000,STC,1.00000,3.21000000,321
2023-06-02,2023-06-02,2023-06-05,BIDU,BIDU 2023-06-02 call 132.0000,BTO,1.00000,3.00000000,300
2023-06-02,2023-06-02,2023-06-05,UBER,UBER 2023-06-02 call 37.5000,BTO,1.00000,2.22000000,222
2023-06-02,2023-06-02,2023-06-05,TM,TM 2023-06-16 call 150.0000,STC,1.00000,0.60000000,60
2023-06-02,2023-06-02,2023-06-05,TSLA,TSLA 2023-06-02 call 207.5000,STC,1.00000,9.10000000,910
2023-06-02,2023-06-02,,QCOM,QCOM 2023-06-09 call 120.0000,BTO,,,0
2023-06-06,2023-06-06,2023-06-07,AMZN,AMZN 2023-06-09 call 126.0000,BTO,1.00000,1.21000000,121
2023-06-06,2023-06-06,2023-06-07,GOOG,GOOG 2023-06-09 call 126.0000,BTO,1.00000,2.70000000,270
2023-06-07,2023-06-07,2023-06-08,AAPL,AAPL 2023-06-09 put 177.5000,STC,1.00000,1.25000000,125
2023-06-07,2023-06-07,2023-06-08,GOOG,GOOG 2023-06-09 put 124.0000,BTO,1.00000,1.43000000,143
2023-06-07,2023-06-07,2023-06-08,PFE,PFE 2023-06-09 call 37.0000,BTO,1.00000,1.92000000,192
